231: [75.08431442268402,13.136422495130125]
232: [75.12515091616983,13.07229618445177]
233: [75.13516161599877,13.061424871944546]
234: [75.14510540942689,13.054227887418827]
235: [75.16460947633283,13.034768351046056]
236: [75.21827030426847,12.986431762347838]
237: [75.22866891672808,12.980153323045784]
238: [75.26383789980775,12.952416565284228]
239: [75.29900680876963,12.9246798497875]
240: [75.33417568741918,12.89694314285911]
241: [75.3693446684026,12.869206415821578]
242: [75.40574878110966,12.844462858163624]
243: [75.42292967146747,12.821752720399575]
244: [75.42870418292479,12.810814530084139]
245: [75.43311427205774,12.798012432196463]
246: [75.43863465903098,12.772385939833233]
247: [75.43930793467383,12.758616294294596]
248: [75.43412648853968,12.730546240664358]
249: [75.42916349543,12.718537838382733]
250: [75.41833238146404,12.7110198666451]
251: [75.40453140240913,12.70901770145366]
252: [75.37596643824969,12.711840331790224]
253: [75.36054235348821,12.711617378466448]
254: [75.3174362385228,12.717440913580994]
255: [75.289205698056,12.729440350793386]
256: [75.27692980370631,12.737069861950815]
257: [75.2533857429506,12.747744977732932]
258: [75.21299964246639,12.759106742354582]
259: [75.19989878607784,12.759365410406327]
260: [75.18589723625988,12.757786832236139]
261: [75.15661876342293,12.746344842678846]
262: [75.14363834494408,12.739727489086219]
263: [75.13347603229094,12.732227338106686]
264: [75.12758561238579,12.719750736655554]
265: [75.12596248574272,12.705490576446236]
266: [75.12510628417672,12.642586038667979]
267: [75.13231672650704,12.601379461599516]
268: [75.14444545478702,12.573550237394223]
269: [75.1479057098907,12.562130479183033]
270: [75.14700945526293,12.530894439900669]
271: [75.15046520046658,12.518551633620774]
272: [75.1524183483713,12.48507267615214]
273: [75.14494489702624,12.456035063801686]
274: [75.13863971234663,12.441257588791052]
275: [75.13511698683442,12.428348459615146]
276: [75.13395760402113,12.413642339260658]
277: [75.14655455643422,12.356445474511858]
278: [75.1621614579803,12.314895542521834]
279: [75.16663396563854,12.298437003650298]
280: [75.17775941809326,12.273350107350671]
281: [75.18866635437308,12.262037385400957]
282: [75.21555913827252,12.244071638022422]
283: [75.2437585284052,12.231621856548013]
284: [75.27324661355428,12.225624420532483]
285: [75.28591935916678,12.221664725136918]
286: [75.31176872758232,12.209634006696772]
287: [75.3235407506949,12.202923085580094]
288: [75.35373782276253,12.181314305681795]
289: [75.37174369129032,12.163196997275934]
290: [75.38746644058928,12.140928232948111]
291: [75.39909131628193,12.113999687998554]
292: [75.43428252130573,12.069043074556792]
293: [75.44145274160729,12.057204144211552]
294: [75.46946933360597,12.023618211229632]
295: [75.49236230975312,11.989497143984538]
296: [75.54885916308797,11.919565089505868]
297: [75.58400579224345,11.842449357508258]
298: [75.59927374419051,11.818321168372117]
299: [75.61472898811017,11.779504656337384]
300: [75.62856110631404,11.7571958120638]
301: [75.6370913934072,11.746743691980686]
302: [75.67816420189011,11.70779342442024]
303: [75.71923694335388,11.668843176486671]
304: [75.75193111017018,11.628403621883512]
305: [75.75953829216367,11.61701508681973]
306: [75.76576763103068,11.60424419457366]
307: [75.78170895398222,11.562208227539157]
308: [75.80042377470096,11.522040682916826]
309: [75.84887639450422,11.448273721333836]
310: [75.87919160161148,11.40801251308807]
311: [75.90950677014652,11.367751322212053]
312: [75.93850874721709,11.319432496425023]
313: [75.96221784575518,11.285284709764543]
